,標題,價格,商品網址,圖片網址
1,BILLABONG PREMIUM WAVE WASH 男 短袖T恤 松綠 9572051-PI2,495,https://shopee.tw//BILLABONG-PREMIUM-WAVE-WASH-男-短袖T恤-松綠-9572051-PI2-i.178207524.23642044443?sp_atk=46b97987-bcfa-4937-8833-77773c8279c7&xptdk=46b97987-bcfa-4937-8833-77773c8279c7,https://down-tw.img.susercontent.com/file/tw-11134207-7qul9-lgm56qq0r0h886_tn
2,CHUMS Recycle Dual Soft Case零錢包 4色 CH603567-,494,https://shopee.tw//CHUMS-Recycle-Dual-Soft-Case零錢包-4色-CH603567--i.178207524.23735696946?sp_atk=83de05fa-ea02-47e7-ace4-d17247059068&xptdk=83de05fa-ea02-47e7-ace4-d17247059068,https://down-tw.img.susercontent.com/file/tw-11134207-7qul1-lez6o0cxsvn3dd_tn
3,BILLABONG 男 OUR OCEAN LS 長袖上衣 渡鴉黑 9517178RAV,968,https://shopee.tw//BILLABONG-男-OUR-OCEAN-LS-長袖上衣-渡鴉黑-9517178RAV-i.178207524.20159230372?sp_atk=52d2681b-9b65-4dd4-a0b8-88311cf60526&xptdk=52d2681b-9b65-4dd4-a0b8-88311cf60526,https://down-tw.img.susercontent.com/file/sg-11134201-22110-uhho5hndvcjv46_tn
4,BILLABONG 男 SEGMENT SS 短袖上衣 藍 ABYZT01703NVY,944,https://shopee.tw//BILLABONG-男-SEGMENT-SS-短袖上衣-藍-ABYZT01703NVY-i.178207524.23540740848?sp_atk=14b9c434-251b-47a9-9787-22f3f05ffc99&xptdk=14b9c434-251b-47a9-9787-22f3f05ffc99,https://down-tw.img.susercontent.com/file/tw-11134207-7qul5-lg23tjggwnwh70_tn
5,BILLABONG PREMIUM WAVE WASH SS 男 短袖T恤 黑 9572051-BLK,643,https://shopee.tw//BILLABONG-PREMIUM-WAVE-WASH-SS-男-短袖T恤-黑-9572051-BLK-i.178207524.22767512797?sp_atk=3ee5df88-3155-4b82-9977-3ad7b4aad0cb&xptdk=3ee5df88-3155-4b82-9977-3ad7b4aad0cb,https://down-tw.img.susercontent.com/file/tw-11134207-7qul8-lgm01x1pmxwp51_tn
6,BILLABONG PREMIUM WAVE WASH SS 男 短袖T恤 松綠 UBYZT00162-PIN,643,https://shopee.tw//BILLABONG-PREMIUM-WAVE-WASH-SS-男-短袖T恤-松綠-UBYZT00162-PIN-i.178207524.22942031285?sp_atk=0dc1a9e1-1c86-486d-8c81-d695caec0455&xptdk=0dc1a9e1-1c86-486d-8c81-d695caec0455,https://down-tw.img.susercontent.com/file/tw-11134207-7qul0-lgm13fy0u97te5_tn
7,BILLABONG 男 STACKED ARCH SS 短袖上衣 綠 ABYZT01701BLL,864,https://shopee.tw//BILLABONG-男-STACKED-ARCH-SS-短袖上衣-綠-ABYZT01701BLL-i.178207524.22240743645?sp_atk=cbefe3c4-0760-4d34-ab99-aa6d6e4876fa&xptdk=cbefe3c4-0760-4d34-ab99-aa6d6e4876fa,https://down-tw.img.susercontent.com/file/tw-11134207-7qul5-lg234r153k16ae_tn
8,CHUMS SAYORI WADA Oversized FlowerBooby 中性 短袖上衣 2色 CH012200-,"1,596",https://shopee.tw//CHUMS-SAYORI-WADA-Oversized-FlowerBooby-中性-短袖上衣-2色-CH012200--i.178207524.22035084309?sp_atk=0329a953-7b61-4db0-8336-f3b9b9dd4d4a&xptdk=0329a953-7b61-4db0-8336-f3b9b9dd4d4a,https://down-tw.img.susercontent.com/file/tw-11134207-7qul0-lg1t7olfxiy2a5_tn
9,BILLABONG PREMIUM WAVE WASH SS 短袖T恤 霧紫 9572051-PUH,643,https://shopee.tw//BILLABONG-PREMIUM-WAVE-WASH-SS-短袖T恤-霧紫-9572051-PUH-i.178207524.21988588965?sp_atk=7fd32e88-03ff-467e-af5a-64ee2b951388&xptdk=7fd32e88-03ff-467e-af5a-64ee2b951388,https://down-tw.img.susercontent.com/file/tw-11134207-7qukw-lglz4eg3gundd3_tn
10,BILLABONG 男FLAMINGO ARCH SS短袖上衣 藍-ABYZT02036233SGN,"1,024",https://shopee.tw//BILLABONG-男FLAMINGO-ARCH-SS短袖上衣-藍-ABYZT02036233SGN-i.178207524.20893626001?sp_atk=e461bb7b-1b1f-4c96-a47d-74bc20f6f234&xptdk=e461bb7b-1b1f-4c96-a47d-74bc20f6f234,https://down-tw.img.susercontent.com/file/tw-11134207-7r991-lm79v3l2y7q331_tn
