編號,標題,價格,商品網址,圖片網址
1,Whatever After #7: Beauty Queen/Sarah Mlynowski【三民網路書店】,245,https://shopee.tw//Whatever-After-7-Beauty-Queen-Sarah-Mlynowski【三民網路書店】-i.42458033.23039596774?sp_atk=399d21c4-4f76-4366-8f21-ec05b5401e88&xptdk=399d21c4-4f76-4366-8f21-ec05b5401e88,https://down-tw.img.susercontent.com/file/sg-11134201-7rbk6-lo6293krm5xmb4_tn
2,《三民》新譯六祖壇經(二版)/李中華注譯【三民網路書店】,280,https://shopee.tw//《三民》新譯六祖壇經(二版)-李中華注譯【三民網路書店】-i.42458033.6949142544?sp_atk=50f602ce-e192-4139-933b-535204393330&xptdk=50f602ce-e192-4139-933b-535204393330,https://down-tw.img.susercontent.com/file/sg-11134201-7rbkw-lolt7w45kffu47_tn
3,《三民》關於律師文書――新進律師寫作入門(修訂二版)/吳至格【三民網路書店】,350,https://shopee.tw//《三民》關於律師文書――新進律師寫作入門(修訂二版)-吳至格【三民網路書店】-i.42458033.20683276497?sp_atk=163f284c-e968-4d5f-8e04-f49bae276666&xptdk=163f284c-e968-4d5f-8e04-f49bae276666,https://down-tw.img.susercontent.com/file/sg-11134201-7rbn7-loeqprz6tbpm4d_tn
4,《三民》Vocabulary 4001～7000：進階必考3000單字書/丁雍嫻【三民網路書店】,380,https://shopee.tw//《三民》Vocabulary-4001～7000：進階必考3000單字書-丁雍嫻【三民網路書店】-i.42458033.20693051422?sp_atk=766aac55-03dc-4e14-8aaa-02eeac46cbaf&xptdk=766aac55-03dc-4e14-8aaa-02eeac46cbaf,https://down-tw.img.susercontent.com/file/sg-11134201-7rbm6-long74fi9xxmbe_tn
5,《楓樹林》極簡日本戰國史/大石學-監修【三民網路書店】,350,https://shopee.tw//《楓樹林》極簡日本戰國史-大石學-監修【三民網路書店】-i.42458033.22549108899?sp_atk=838a02b4-7f52-4fd9-8a7c-05e53a7c566b&xptdk=838a02b4-7f52-4fd9-8a7c-05e53a7c566b,https://down-tw.img.susercontent.com/file/sg-11134201-7rbki-lo4z4g3zpe1p56_tn
6,《三民》新譯李清照集/姜漢椿【三民網路書店】,220,https://shopee.tw//《三民》新譯李清照集-姜漢椿【三民網路書店】-i.42458033.6249103715?sp_atk=304bad56-38cf-4d17-b36e-9bfe5f945471&xptdk=304bad56-38cf-4d17-b36e-9bfe5f945471,https://down-tw.img.susercontent.com/file/sg-11134201-7rbly-lonv026a9hn108_tn
7,《三民》新譯孫子讀本(二版)/吳仁傑-注譯【三民網路書店】,230,https://shopee.tw//《三民》新譯孫子讀本(二版)-吳仁傑-注譯【三民網路書店】-i.42458033.5949115690?sp_atk=eddcebf0-ff8d-462f-8a26-30bcbf0853d1&xptdk=eddcebf0-ff8d-462f-8a26-30bcbf0853d1,https://down-tw.img.susercontent.com/file/sg-11134201-22110-qqdo4ywys0jv05_tn
8,《三民》新譯八識規矩頌(二版)/倪梁康-注譯【三民網路書店】,180,https://shopee.tw//《三民》新譯八識規矩頌(二版)-倪梁康-注譯【三民網路書店】-i.42458033.4749167811?sp_atk=2e715195-1b1c-49ad-bbb6-48c41e4328ec&xptdk=2e715195-1b1c-49ad-bbb6-48c41e4328ec,https://down-tw.img.susercontent.com/file/sg-11134201-7rblb-lonlnpw79j87fd_tn
9,《三民》普通型高中選修歷史Ⅰ習作/陳威齊著【三民網路書店】,180,https://shopee.tw//《三民》普通型高中選修歷史Ⅰ習作-陳威齊著【三民網路書店】-i.42458033.23054605242?sp_atk=c65f8c16-3517-4f44-a313-52d61a1577bd&xptdk=c65f8c16-3517-4f44-a313-52d61a1577bd,https://down-tw.img.susercontent.com/file/sg-11134201-7rbna-loct0bhr68v021_tn
10,《三民》美術鑑賞(三版)/趙惠玲【三民網路書店】,420,https://shopee.tw//《三民》美術鑑賞(三版)-趙惠玲【三民網路書店】-i.42458033.1075117632?sp_atk=26b0f727-0ac2-4037-99cd-1cad4d0eaa5e&xptdk=26b0f727-0ac2-4037-99cd-1cad4d0eaa5e,https://down-tw.img.susercontent.com/file/sg-11134201-7rbmx-lond56ia7tmv9e_tn
11,《三民》新編中國哲學史(一)(四版)/勞思光【三民網路書店】,500,https://shopee.tw//《三民》新編中國哲學史(一)(四版)-勞思光【三民網路書店】-i.42458033.1058723464?sp_atk=302fa19d-4a44-4f16-a149-3c00ca93775c&xptdk=302fa19d-4a44-4f16-a149-3c00ca93775c,https://down-tw.img.susercontent.com/file/sg-11134201-7rbnb-lon34sdaaqdm01_tn
12,《三民》票據法(修訂五版)/鄭玉波【三民網路書店】,290,https://shopee.tw//《三民》票據法(修訂五版)-鄭玉波【三民網路書店】-i.42458033.15901943247?sp_atk=3fe313c4-b834-4ec2-976c-6df6d61865c4&xptdk=3fe313c4-b834-4ec2-976c-6df6d61865c4,https://down-tw.img.susercontent.com/file/sg-11134201-7rbnk-loav9a56qwin26_tn
13,《三民》新譯李商隱詩選/朱恒夫-等 注譯【三民網路書店】,500,https://shopee.tw//《三民》新譯李商隱詩選-朱恒夫-等-注譯【三民網路書店】-i.42458033.14801933295?sp_atk=63381851-a42a-4647-8b11-59cf2e1bbeb4&xptdk=63381851-a42a-4647-8b11-59cf2e1bbeb4,https://down-tw.img.susercontent.com/file/sg-11134201-7rbkw-lon3l8xv534ac5_tn
